ReturnDate,TerritoryKey,ProductKey,ReturnQuantity
1/18/2015,9,312,1
1/18/2015,10,310,1
1/21/2015,8,346,1
1/22/2015,4,311,1
02-02-2015,6,312,1
2/15/2015,1,312,1
2/19/2015,9,311,1
2/24/2015,8,314,1
03-08-2015,8,350,1
3/13/2015,9,350,1
3/14/2015,4,346,1
3/15/2015,9,340,1
3/22/2015,4,311,1
3/26/2015,10,312,1
3/28/2015,7,312,1
3/28/2015,9,314,1
3/29/2015,9,311,1
04-01-2015,8,311,1
04-07-2015,9,311,1
04-07-2015,9,351,1
04-09-2015,9,311,1
04-10-2015,9,326,1
4/15/2015,9,312,1
4/16/2015,9,349,1
4/20/2015,9,310,1
4/21/2015,9,312,1
4/25/2015,4,324,1
4/27/2015,1,314,1
4/29/2015,6,310,1
4/29/2015,9,348,1
4/30/2015,8,330,1
05-01-2015,4,312,1
05-06-2015,9,324,1
05-07-2015,9,351,1
5/13/2015,1,310,1
5/14/2015,7,313,1
5/16/2015,6,313,1
5/16/2015,7,313,1
5/22/2015,9,314,1
5/24/2015,8,322,1
5/30/2015,1,313,1
5/30/2015,4,314,1
06-05-2015,4,313,1
06-07-2015,4,342,1
6/20/2015,9,347,1
6/24/2015,9,320,1
07-03-2015,4,373,1
07-11-2015,8,387,1
7/22/2015,8,379,1
8/14/2015,6,377,1
8/15/2015,1,377,1
8/15/2015,8,328,1
8/26/2015,4,387,1
8/28/2015,4,370,1
8/31/2015,10,373,1
09-03-2015,9,369,1
09-10-2015,1,354,1
10-03-2015,1,352,1
10-07-2015,9,352,1
10-08-2015,10,354,1
10-12-2015,9,379,1
10/13/2015,9,352,2
10/23/2015,9,354,1
10/25/2015,8,334,1
10/27/2015,6,368,1
10/28/2015,8,373,1
10/30/2015,7,370,1
11/16/2015,8,379,1
11/20/2015,8,360,1
11/23/2015,9,326,1
11/24/2015,1,330,1
11/27/2015,10,320,1
12-01-2015,10,356,1
12-04-2015,4,324,1
12-05-2015,6,389,1
12-06-2015,10,360,1
12-10-2015,9,334,1
12-11-2015,9,375,1
12-12-2015,8,377,1
12-12-2015,9,362,1
12-12-2015,9,379,1
12/14/2015,9,377,1
12/16/2015,4,377,1
12/18/2015,4,352,1
12/25/2015,8,389,1
01-07-2016,9,362,1
01-09-2016,8,373,1
01-10-2016,9,381,1
1/16/2016,7,371,1
1/23/2016,4,332,1
1/23/2016,9,354,1
1/26/2016,9,330,1
1/31/2016,4,360,1
02-01-2016,1,354,1
02-12-2016,9,330,1
2/14/2016,4,381,1
2/20/2016,9,328,1
2/20/2016,9,377,1
2/22/2016,8,369,1
2/22/2016,9,362,1
2/25/2016,9,370,1
03-08-2016,9,352,1
03-12-2016,1,336,1
3/18/2016,7,370,1
3/20/2016,9,360,1
3/21/2016,6,330,1
3/24/2016,7,330,1
3/29/2016,9,375,1
3/31/2016,7,368,1
04-01-2016,8,373,1
04-04-2016,7,387,1
4/13/2016,8,362,1
4/25/2016,1,320,1
4/27/2016,4,373,1
05-01-2016,1,322,1
05-01-2016,9,352,1
05-03-2016,9,370,1
05-11-2016,7,352,1
5/16/2016,9,354,1
5/21/2016,4,371,1
5/23/2016,8,328,1
5/26/2016,7,360,1
5/27/2016,7,326,1
5/31/2016,4,369,1
06-10-2016,4,356,1
06-12-2016,10,381,1
6/13/2016,4,371,1
6/15/2016,4,332,1
6/19/2016,1,328,1
6/21/2016,10,368,1
6/25/2016,7,369,1
6/27/2016,9,362,1
07-02-2016,9,375,1
07-03-2016,9,354,1
07-03-2016,9,477,1
07-03-2016,9,479,1
07-04-2016,9,356,1
07-06-2016,10,528,1
07-07-2016,10,358,1
07-08-2016,8,381,1
07-08-2016,9,478,1
07-08-2016,9,480,1
07-08-2016,9,487,1
07-08-2016,10,480,1
07-09-2016,7,215,1
07-11-2016,4,477,1
07-11-2016,8,232,1
07-12-2016,4,478,1
